[2026-09-02 10:43:06] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallBreakerKitchenInduction', payload '{"current_a":0,"current_b":0,"current_c":0,"device":{"applicationVersion":74,"dateCode":"","friendlyName":"HallBreakerKitchenInduction","hardwareVersion":1,"ieeeAddr":"0xa4c138278695ef31","manufacturerID":4417,"manufacturerName":"_TZE204_wbhaespm","model":"ZXB3-125","networkAddress":36651,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":180.92,"faults":[],"high_temperature_breaker":null,"high_temperature_threshold":null,"insufficient_balance_breaker":null,"insufficient_balance_threshold":null,"leakage_breaker":null,"leakage_test":null,"leakage_threshold":null,"linkquality":92,"over_current_breaker":null,"over_current_threshold":null,"over_voltage_breaker":null,"over_voltage_threshold":null,"overload_breaker":null,"overload_threshold":null,"power_a":0,"power_b":0,"power_c":0,"state":"ON","temperature":25,"under_voltage_breaker":null,"under_voltage_threshold":null,"voltage_a":242.1,"voltage_b":241.3,"voltage_c":239.3}'
[2026-09-02 10:43:07] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/BedroomSocketDoorR', payload '{"child_lock":null,"countdown":null,"current":0,"device":{"applicationVersion":77,"dateCode":"","friendlyName":"BedroomSocketDoorR","hardwareVersion":1,"ieeeAddr":"0xa4c1386e4892f726","manufacturerID":4417,"manufacturerName":"_TZ3000_b28wrpvx","model":"TS011F_plug_1_2","networkAddress":14498,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":0.27,"identify":null,"indicator_mode":null,"linkquality":136,"power":0,"power_outage_memory":null,"state":"OFF","switch_type_button":null,"update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":234}'
[2026-09-02 10:43:07] [32minfo[39m: 	zh:ember:ezsp: Received network/route error ROUTE_ERROR_MANY_TO_ONE_ROUTE_FAILURE for "18460".
[2026-09-02 10:43:08] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/BedroomSocketDoorR', payload '{"child_lock":null,"countdown":null,"current":0,"device":{"applicationVersion":77,"dateCode":"","friendlyName":"BedroomSocketDoorR","hardwareVersion":1,"ieeeAddr":"0xa4c1386e4892f726","manufacturerID":4417,"manufacturerName":"_TZ3000_b28wrpvx","model":"TS011F_plug_1_2","networkAddress":14498,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":0.27,"identify":null,"indicator_mode":null,"linkquality":140,"power":0,"power_outage_memory":null,"state":"OFF","switch_type_button":null,"update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":235}'
[2026-09-02 10:43:08] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/BedroomSocketDoorR', payload '{"child_lock":null,"countdown":null,"current":0,"device":{"applicationVersion":77,"dateCode":"","friendlyName":"BedroomSocketDoorR","hardwareVersion":1,"ieeeAddr":"0xa4c1386e4892f726","manufacturerID":4417,"manufacturerName":"_TZ3000_b28wrpvx","model":"TS011F_plug_1_2","networkAddress":14498,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":0.27,"identify":null,"indicator_mode":null,"linkquality":136,"power":0,"power_outage_memory":null,"state":"OFF","switch_type_button":null,"update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":235}'
[2026-09-02 10:43:08] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallPIRSensorEntrance', payload '{"battery":100,"device":{"applicationVersion":145,"friendlyName":"HallPIRSensorEntrance","hardwareVersion":1,"ieeeAddr":"0xa4c138adb5fa215f","manufacturerID":4742,"manufacturerName":"_TZE200_3towulqd","model":"ZG-204ZL","networkAddress":19016,"powerSource":"Battery","softwareBuildID":"0122052017","stackVersion":2,"type":"EndDevice","zclVersion":3},"illuminance":1436,"illuminance_interval":60,"keep_time":"10","linkquality":136,"occupancy":false,"sensitivity":"high"}'
[2026-09-02 10:43:08] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallBreakerKitchenInduction', payload '{"current_a":0,"current_b":0,"current_c":0,"device":{"applicationVersion":74,"dateCode":"","friendlyName":"HallBreakerKitchenInduction","hardwareVersion":1,"ieeeAddr":"0xa4c138278695ef31","manufacturerID":4417,"manufacturerName":"_TZE204_wbhaespm","model":"ZXB3-125","networkAddress":36651,"powerSource":"Mains (single phase)","stackVersion":0,"type":"Router","zclVersion":3},"energy":180.92,"faults":[],"high_temperature_breaker":null,"high_temperature_threshold":null,"insufficient_balance_breaker":null,"insufficient_balance_threshold":null,"leakage_breaker":null,"leakage_test":null,"leakage_threshold":null,"linkquality":80,"over_current_breaker":null,"over_current_threshold":null,"over_voltage_breaker":null,"over_voltage_threshold":null,"overload_breaker":null,"overload_threshold":null,"power_a":0,"power_b":0,"power_c":0,"state":"ON","temperature":25,"under_voltage_breaker":null,"under_voltage_threshold":null,"voltage_a":242.1,"voltage_b":241.3,"voltage_c":239.3}'
[2026-09-02 10:43:09] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/HallEntranceIlluminance', payload '{"battery":50,"device":{"applicationVersion":151,"dateCode":"26022026","friendlyName":"HallEntranceIlluminance","hardwareVersion":1,"ieeeAddr":"0xa4c1386c6faff53b","manufacturerID":4742,"manufacturerName":"HOBEIAN","model":"ZG-106Z","networkAddress":28272,"powerSource":"Battery","softwareBuildID":"0126022026","stackVersion":2,"type":"EndDevice","zclVersion":3},"illuminance":7,"linkquality":136,"voltage":2700}'
[2026-09-02 10:43:10] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/LivingRoomPIREntrance', payload '{"battery":100,"device":{"applicationVersion":145,"friendlyName":"LivingRoomPIREntrance","hardwareVersion":1,"ieeeAddr":"0xa4c1381b8b4eff23","manufacturerID":4742,"manufacturerName":"_TZE200_3towulqd","model":"ZG-204ZL","networkAddress":48812,"powerSource":"Battery","softwareBuildID":"0122052017","stackVersion":2,"type":"EndDevice","zclVersion":3},"illuminance":2689,"illuminance_interval":60,"keep_time":"10","linkquality":92,"occupancy":false,"sensitivity":"high"}'
[2026-09-02 10:43:12] [32minfo[39m: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/KitchenSocketFridge', payload '{"child_lock":"UNLOCK","countdown":0,"current":0.17,"device":{"applicationVersion":112,"friendlyName":"KitchenSocketFridge","hardwareVersion":0,"ieeeAddr":"0xa4c138460c83974f","manufacturerID":4107,"manufacturerName":"_TZ3000_cehuw1lw","model":"TS011F_plug_3","networkAddress":30791,"powerSource":"Mains (single phase)","softwareBuildID":"1.0.5\u0000","stackVersion":2,"type":"Router","zclVersion":3},"energy":88.92,"indicator_mode":"off/on","linkquality":180,"power":25,"power_outage_memory":"on","state":"ON","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":237}'
